sales_sk,sales_id,customer_sk,product_sk,store_sk,salesperson_sk,campaign_sk,total_amount,date_sk,time_sk
105,SALES_0000105,51909,136,359,1227,6,1415.97,100,125
106,SALES_0000106,47497,26,148,948,9,1833.84,163,987
107,SALES_0000107,83149,118,119,333,4,4659.78,32,1082
108,SALES_0000108,82985,47,143,1146,14,804.97,199,1045
109,SALES_0000109,55148,81,18,1272,3,1256.28,57,1178
110,SALES_0000110,84867,123,181,914,28,2095.32,234,1060
111,SALES_0000111,31057,20,428,1056,2,1091.34,50,957
112,SALES_0000112,40623,204,261,1630,12,3101.28,54,926
113,SALES_0000113,92886,143,360,451,43,2393.28,227,77
114,SALES_0000114,45926,173,84,1758,4,2422.35,91,431
115,SALES_0000115,17332,51,144,1809,43,1509.31,98,1346
116,SALES_0000116,68363,59,442,1057,2,2663.26,34,1286
117,SALES_0000117,50314,127,496,1772,35,2946.98,323,917
118,SALES_0000118,75545,76,257,204,21,1163.75,270,1184
119,SALES_0000119,77063,196,31,240,10,4975.75,176,1199
120,SALES_0000120,6063,130,333,891,15,943.8,174,1335
121,SALES_0000121,72280,210,64,1283,39,1603.65,328,138
122,SALES_0000122,99897,12,274,1909,16,3084.16,210,424
123,SALES_0000123,51088,131,97,1627,47,1847.55,349,370
124,SALES_0000124,85193,38,118,1604,28,1482.65,181,1376
125,SALES_0000125,18329,15,484,1832,48,4454.58,138,997
126,SALES_0000126,89346,188,308,965,45,1593.94,336,403
127,SALES_0000127,5970,113,155,555,32,4680.26,306,1206
128,SALES_0000128,35901,148,275,1449,47,3920.64,213,539
129,SALES_0000129,23346,179,119,1695,35,796.26,294,94
130,SALES_0000130,28271,159,451,1330,4,2746.7,38,1334
131,SALES_0000131,96013,36,439,46,5,2351.82,120,1310
132,SALES_0000132,33565,191,495,257,16,4546.15,164,1302
133,SALES_0000133,32982,208,87,1962,3,2184.92,31,1001
134,SALES_0000134,50006,192,394,963,38,4180.9,303,1208
135,SALES_0000135,18173,44,249,1364,13,807.27,26,662
136,SALES_0000136,2102,80,439,520,7,3653.81,54,636
137,SALES_0000137,55950,43,365,1316,10,4736.69,185,652
138,SALES_0000138,29285,64,376,403,42,3320.06,340,70
139,SALES_0000139,72014,153,168,1760,30,2541.88,259,1286
140,SALES_0000140,2708,24,391,1512,18,4901.14,211,1081
141,SALES_0000141,33270,115,351,714,15,1020.62,161,644
142,SALES_0000142,65282,104,380,1211,2,1197.1,44,713
143,SALES_0000143,10943,163,267,178,18,4982.13,235,486
144,SALES_0000144,68779,29,73,1456,7,4183.85,128,1001
145,SALES_0000145,66557,140,92,1709,37,2961.89,228,480
146,SALES_0000146,11135,203,288,1064,1,638.67,41,1346
147,SALES_0000147,46966,169,257,1956,11,1085.91,48,254
148,SALES_0000148,59366,84,279,1130,26,822.05,289,306
149,SALES_0000149,10890,94,375,1235,3,1528.81,89,242
150,SALES_0000150,34925,159,206,617,18,4364.9,182,1134
151,SALES_0000151,18688,130,46,574,24,3289.28,151,1051
152,SALES_0000152,72335,98,344,386,8,949.27,109,1143
153,SALES_0000153,28379,147,57,1363,37,852.99,118,1093
154,SALES_0000154,20731,208,128,1430,9,1621.12,136,855
155,SALES_0000155,98962,96,181,466,42,2116.01,215,798
156,SALES_0000156,73190,64,463,331,41,3854.34,306,615
157,SALES_0000157,37616,120,139,1344,18,3800.2,174,1085
158,SALES_0000158,90592,26,474,129,12,1661.33,170,426
159,SALES_0000159,87325,102,60,59,34,2440.2,286,1156
160,SALES_0000160,59217,30,257,335,2,3325.42,40,385
161,SALES_0000161,46037,134,415,1068,38,516.74,268,779
162,SALES_0000162,76178,144,7,1370,10,1603.54,192,231
163,SALES_0000163,79565,54,1,1643,15,2310.12,171,1097
164,SALES_0000164,37595,150,252,974,15,3624.55,192,530
165,SALES_0000165,76966,53,458,1750,7,2597.71,98,701
166,SALES_0000166,80114,201,460,1603,10,4481.86,178,1290
167,SALES_0000167,81873,48,73,799,2,2810.99,41,151
168,SALES_0000168,38433,50,67,422,23,4000.64,159,881
169,SALES_0000169,16150,68,450,1595,17,4596.19,204,1348
170,SALES_0000170,66499,58,421,1122,8,2573.89,85,1235
171,SALES_0000171,59473,71,365,149,30,4687.93,227,1292
172,SALES_0000172,44487,117,194,613,15,3161.82,148,142
173,SALES_0000173,81590,134,443,1660,26,4057.07,244,85
174,SALES_0000174,19419,159,44,681,31,867.94,276,271
175,SALES_0000175,13355,190,467,763,43,3153.85,280,552
176,SALES_0000176,41960,169,17,1718,19,793.49,269,1137
177,SALES_0000177,26194,143,105,836,6,4970.29,108,1218
178,SALES_0000178,2422,60,2,1085,12,3473.74,158,879
179,SALES_0000179,29569,78,130,566,22,576.58,127,462
180,SALES_0000180,51716,192,127,1915,46,3798.61,306,328
181,SALES_0000181,57207,20,470,1981,15,700.35,172,1143
182,SALES_0000182,42714,48,319,810,25,3931.55,284,111
183,SALES_0000183,24122,44,481,134,24,4823.58,249,563
184,SALES_0000184,11077,73,61,1065,36,1312.89,319,599
185,SALES_0000185,60885,61,404,430,50,2645.97,325,1374
186,SALES_0000186,43087,41,239,1084,5,1290.9,127,1137
187,SALES_0000187,41821,77,81,186,44,2213.23,191,354
188,SALES_0000188,99415,50,171,1780,32,2237.81,302,1200
189,SALES_0000189,40212,63,318,886,18,2886.61,263,1401
190,SALES_0000190,54080,23,315,1936,40,2876.19,325,199
191,SALES_0000191,46161,154,179,1423,8,3521.13,50,1420
192,SALES_0000192,52141,168,85,1071,49,4948.35,293,1347
193,SALES_0000193,77210,120,466,1635,47,2622.28,296,1011
194,SALES_0000194,41955,116,490,1540,44,4534.43,219,54
195,SALES_0000195,58571,118,334,1447,6,4977.25,99,748
196,SALES_0000196,91416,60,172,1370,5,2528.76,126,1183
197,SALES_0000197,64339,67,128,1141,48,2357.86,152,978
198,SALES_0000198,42808,190,425,615,5,1073.84,132,328
199,SALES_0000199,17132,177,477,466,4,4162.74,43,56
200,SALES_0000200,53487,158,233,403,5,2761.5,140,618
201,SALES_0000201,60294,205,380,296,14,3217.48,224,1382
202,SALES_0000202,9509,99,57,1942,42,4917.59,206,1303
203,SALES_0000203,91729,43,250,119,16,2929.27,198,1092
204,SALES_0000204,60510,34,345,964,50,1767.23,334,93
205,SALES_0000205,25929,10,318,1660,34,916.65,279,961
206,SALES_0000206,34560,39,308,1880,46,2727.94,209,180
207,SALES_0000207,49323,86,82,1459,33,3774.56,311,1166
208,SALES_0000208,60752,36,425,372,30,1323.43,229,1394
209,SALES_0000209,79337,202,276,986,13,3619.24,71,401
210,SALES_0000210,7822,41,234,1095,46,2794.44,288,882
211,SALES_0000211,51472,111,405,1994,7,4337.49,151,955
212,SALES_0000212,52165,124,381,1433,45,981.65,273,1029
213,SALES_0000213,45965,43,398,1261,44,3923.33,285,1370
214,SALES_0000214,97865,49,31,630,48,3119.72,112,274
215,SALES_0000215,34971,140,236,1173,48,576.93,224,144
216,SALES_0000216,76366,97,296,1107,30,4752.12,290,1004
217,SALES_0000217,11401,74,86,1048,32,2209.93,288,139
218,SALES_0000218,60912,12,500,1568,15,2050.17,149,95
219,SALES_0000219,52961,139,384,1007,26,4433.08,269,259
220,SALES_0000220,23673,103,264,1914,23,899.1,126,935
221,SALES_0000221,72557,184,471,1846,32,2145.83,294,851
222,SALES_0000222,87694,57,245,1963,26,3179.53,168,473
223,SALES_0000223,56586,61,127,101,3,3498.14,64,537
224,SALES_0000224,6602,27,203,421,41,4867.92,296,1349
225,SALES_0000225,64367,209,486,623,40,814.22,323,685
226,SALES_0000226,61608,166,259,463,23,2683.03,230,1157
227,SALES_0000227,72976,12,297,1333,6,1926.01,102,355
228,SALES_0000228,72610,155,123,1934,27,1687.71,242,752
229,SALES_0000229,43793,98,291,1423,36,623.31,297,900
230,SALES_0000230,57970,57,283,1512,29,4620.32,292,885
231,SALES_0000231,68428,6,481,1648,47,1683.68,261,221
232,SALES_0000232,90843,93,451,1463,38,1869.53,311,1174
233,SALES_0000233,69890,168,117,1015,2,4473.22,54,532
234,SALES_0000234,929,205,116,819,17,4735.75,181,823
235,SALES_0000235,8647,174,237,1478,48,1955.24,192,1114
236,SALES_0000236,91857,112,368,1736,32,1763.72,302,1029
237,SALES_0000237,93706,188,170,13,37,4574.59,169,441
238,SALES_0000238,66406,122,123,190,44,4456.17,322,1120
239,SALES_0000239,90866,108,492,841,12,2703.76,98,697
240,SALES_0000240,89219,68,366,709,18,1935.18,225,870
241,SALES_0000241,44396,209,213,1197,42,1971.12,236,157
242,SALES_0000242,10709,192,108,1887,8,4526.6,131,415
243,SALES_0000243,38576,84,381,1682,45,687.91,328,168
244,SALES_0000244,31835,128,496,604,5,3365.35,129,344
245,SALES_0000245,42625,100,139,1262,48,862.39,194,1147
246,SALES_0000246,59000,203,108,1303,3,2522.61,63,239
247,SALES_0000247,54923,47,26,1130,44,1891.1,221,450
248,SALES_0000248,59812,142,245,276,44,1208.0,308,636
249,SALES_0000249,53761,52,421,887,40,3846.79,329,757
250,SALES_0000250,61038,164,23,726,20,3116.56,270,166
251,SALES_0000251,87841,185,136,1256,38,3769.18,287,954
252,SALES_0000252,83461,210,468,1048,45,2732.08,313,103
253,SALES_0000253,21081,161,430,1859,26,2670.71,212,217
254,SALES_0000254,97052,153,473,18,14,4989.51,225,720
255,SALES_0000255,53931,130,27,1420,38,1659.24,328,1304
256,SALES_0000256,18584,43,212,1472,5,1688.15,137,1161
257,SALES_0000257,1878,61,315,1968,7,763.25,68,1301
258,SALES_0000258,23700,180,460,639,32,2678.19,289,97
259,SALES_0000259,12429,71,206,506,14,4965.1,219,203
260,SALES_0000260,31161,63,288,758,34,1693.72,276,759
261,SALES_0000261,9343,149,277,1651,6,1621.75,130,723
262,SALES_0000262,47638,23,271,484,27,2400.34,194,658
263,SALES_0000263,19935,210,385,1833,48,1709.45,162,767
264,SALES_0000264,47453,124,219,1493,50,1013.01,314,1234
265,SALES_0000265,45120,114,430,1329,29,4662.72,297,1247
266,SALES_0000266,59856,116,315,1135,1,4467.62,38,1210
267,SALES_0000267,690,96,248,53,38,2341.3,248,638
268,SALES_0000268,9878,36,33,1538,28,2531.15,61,835
269,SALES_0000269,92440,176,63,1120,20,1386.04,270,1411
270,SALES_0000270,32873,197,118,1253,30,1421.9,266,605
271,SALES_0000271,62804,86,299,120,4,2740.72,60,178
272,SALES_0000272,83391,33,11,911,40,4238.46,315,620
273,SALES_0000273,6100,112,97,1688,8,704.31,74,1010
274,SALES_0000274,51400,16,375,931,31,3900.03,276,660
275,SALES_0000275,93545,114,89,1483,20,1471.65,273,326
276,SALES_0000276,2856,69,393,847,18,2450.85,184,988
277,SALES_0000277,53877,13,233,782,8,2982.11,90,664
278,SALES_0000278,26488,181,193,262,42,3644.35,197,983
279,SALES_0000279,35908,41,385,1842,22,1909.25,188,611
280,SALES_0000280,100000,82,290,1512,22,4288.35,134,269
281,SALES_0000281,93793,202,316,481,21,675.6,279,504
282,SALES_0000282,48145,75,39,1452,26,1278.79,166,1355
283,SALES_0000283,51806,202,294,1905,41,1557.97,278,659
284,SALES_0000284,22052,207,203,1154,18,776.63,263,687
285,SALES_0000285,6603,185,97,1723,26,4151.25,249,530
286,SALES_0000286,6814,30,305,1874,39,4240.59,328,1372
287,SALES_0000287,70219,102,67,1703,47,3293.22,349,550
288,SALES_0000288,76241,126,230,1465,9,2945.99,169,673
289,SALES_0000289,25796,185,437,1950,27,4874.51,186,999
290,SALES_0000290,88208,176,284,340,8,1270.22,84,125
291,SALES_0000291,52559,195,351,228,49,3827.57,279,1332
292,SALES_0000292,71953,2,155,1103,29,4992.32,287,1062
293,SALES_0000293,48149,18,192,1477,20,1453.33,273,109
294,SALES_0000294,3354,142,452,649,9,2408.96,163,311
295,SALES_0000295,57278,126,214,1754,27,2637.08,227,596
296,SALES_0000296,50656,207,373,1543,48,3720.74,317,516
297,SALES_0000297,75197,188,83,1211,44,1259.51,228,545
298,SALES_0000298,88019,14,300,567,48,4767.61,212,981
299,SALES_0000299,18649,74,326,627,4,753.83,26,626
300,SALES_0000300,29306,170,290,338,6,4900.3,120,204
301,SALES_0000301,88756,93,453,1823,44,2686.61,211,1186
302,SALES_0000302,13675,141,65,1622,37,905.49,254,1398
303,SALES_0000303,32018,55,115,1881,32,2358.62,293,1268
304,SALES_0000304,9267,26,42,200,46,3911.97,348,360
305,SALES_0000305,22122,118,368,1117,28,3149.02,217,783
306,SALES_0000306,83199,64,250,883,22,4788.54,200,1237
307,SALES_0000307,82227,140,269,1334,18,1848.03,222,171
308,SALES_0000308,82629,65,353,1582,45,4079.89,201,2
309,SALES_0000309,66244,208,40,786,2,3811.21,41,1005
310,SALES_0000310,19254,7,89,43,43,4536.57,166,1075
311,SALES_0000311,52293,181,461,1589,40,4412.05,314,148
312,SALES_0000312,21710,26,106,921,14,1778.19,217,563
313,SALES_0000313,62880,148,331,1125,25,2319.77,255,97
314,SALES_0000314,52857,186,138,1982,3,2519.6,65,942
315,SALES_0000315,26397,17,417,198,43,1315.84,214,301
316,SALES_0000316,90957,20,179,1806,17,3515.37,173,918
317,SALES_0000317,71949,48,440,1526,12,3347.59,66,241
318,SALES_0000318,86507,101,160,75,1,2328.8,39,285
319,SALES_0000319,29033,28,226,1170,25,1287.24,263,1064
320,SALES_0000320,31408,61,246,560,11,4895.39,68,317
321,SALES_0000321,49363,132,285,164,12,535.22,101,1326
322,SALES_0000322,632,105,278,1784,25,4133.28,296,1375
323,SALES_0000323,95112,94,144,39,24,3548.08,203,575
324,SALES_0000324,63016,17,244,1047,36,4667.57,306,913
325,SALES_0000325,76591,2,386,1002,49,4762.71,124,837
326,SALES_0000326,21035,165,401,948,40,1797.1,315,535
327,SALES_0000327,18260,4,26,497,22,1905.95,215,31
328,SALES_0000328,5833,201,298,1666,39,2516.9,323,481
329,SALES_0000329,52405,122,278,69,17,4706.82,171,530
330,SALES_0000330,63635,123,359,1249,18,3454.98,205,95
331,SALES_0000331,59595,176,317,63,44,2004.44,325,1228
332,SALES_0000332,97545,141,295,392,11,2431.61,95,15
333,SALES_0000333,73440,11,332,1960,48,1149.95,195,273
334,SALES_0000334,91808,78,9,834,20,2590.19,274,1413
335,SALES_0000335,64416,162,185,232,34,2870.35,278,1151
336,SALES_0000336,72669,134,249,308,22,4860.92,261,541
337,SALES_0000337,53230,150,434,1214,19,4474.74,258,307
338,SALES_0000338,59879,134,64,1802,42,4631.05,195,821
339,SALES_0000339,81833,38,279,1665,8,2712.68,78,1138
340,SALES_0000340,90438,115,74,1298,33,4069.1,311,822
341,SALES_0000341,97930,195,240,598,20,4386.72,269,741
342,SALES_0000342,47140,51,481,1717,24,1745.0,140,879
343,SALES_0000343,39197,125,222,937,2,2012.97,45,1277
344,SALES_0000344,38842,208,273,670,12,2275.56,130,363
345,SALES_0000345,37101,146,26,95,11,1745.58,102,475
346,SALES_0000346,35049,144,402,1678,50,715.84,326,1159
347,SALES_0000347,68209,126,462,1610,16,3617.32,178,890
348,SALES_0000348,98554,43,212,1964,33,660.08,315,817
349,SALES_0000349,4653,204,177,1952,43,2704.47,341,1389
350,SALES_0000350,92046,139,153,536,11,3578.26,61,1102
351,SALES_0000351,70264,203,186,1178,20,2727.72,269,1129
352,SALES_0000352,30832,18,161,1549,50,2363.07,340,112
353,SALES_0000353,64747,117,449,121,1,3212.46,41,180
354,SALES_0000354,20363,6,388,1366,47,1692.12,274,1440
355,SALES_0000355,88164,175,483,410,43,3463.16,124,467
356,SALES_0000356,44769,130,16,1081,45,637.24,272,1145
357,SALES_0000357,28536,123,445,212,18,3802.76,177,658
358,SALES_0000358,33124,146,332,546,37,4272.18,298,954
359,SALES_0000359,97637,210,79,382,35,3875.42,287,1050
360,SALES_0000360,46083,66,357,1721,48,1963.25,258,1128
361,SALES_0000361,21585,181,422,751,11,1723.62,66,1419
362,SALES_0000362,61010,209,298,1620,20,4144.17,274,1149
363,SALES_0000363,66025,109,165,1282,1,3648.61,41,574
364,SALES_0000364,71313,45,485,1049,2,1111.15,27,243
365,SALES_0000365,42880,162,278,859,49,1245.83,210,381
366,SALES_0000366,49285,133,479,122,41,1463.41,260,1241
367,SALES_0000367,31856,189,142,361,44,2940.59,243,1413
368,SALES_0000368,68815,176,45,1820,37,3554.93,155,712
369,SALES_0000369,74943,89,489,1323,46,4474.19,286,883
370,SALES_0000370,60174,58,58,1820,36,4270.91,313,796
371,SALES_0000371,76711,179,411,1588,7,3895.84,118,1032
372,SALES_0000372,85691,63,336,847,5,1700.49,133,275
373,SALES_0000373,90225,102,311,1988,38,3816.46,323,727
374,SALES_0000374,96890,95,322,1279,47,1367.1,251,835
375,SALES_0000375,12545,59,160,292,9,742.55,172,458
376,SALES_0000376,14673,181,457,1742,6,3378.25,143,1281
377,SALES_0000377,14,92,96,1849,1,4900.03,37,1206
378,SALES_0000378,22250,187,269,1517,27,4442.56,181,523
379,SALES_0000379,4372,89,73,76,5,1537.12,138,321
380,SALES_0000380,55904,27,37,1339,41,3287.1,308,844
381,SALES_0000381,67313,62,339,362,31,4092.69,276,1046
382,SALES_0000382,43659,101,57,523,13,1285.04,49,1327
383,SALES_0000383,48257,37,291,1798,44,4108.38,239,951
384,SALES_0000384,85433,76,18,1764,8,2624.01,104,123
385,SALES_0000385,48203,137,55,1074,49,4542.04,272,1331
386,SALES_0000386,34640,160,324,166,42,1440.38,279,1236
387,SALES_0000387,31113,43,378,935,11,2358.86,16,1192
388,SALES_0000388,4900,90,172,365,11,782.6,171,748
389,SALES_0000389,27429,106,406,1664,6,3428.15,119,1258
390,SALES_0000390,90710,17,87,1906,42,1407.07,260,585
391,SALES_0000391,42702,178,87,1897,15,2204.3,157,1242
392,SALES_0000392,37203,160,34,94,19,3988.65,268,1351
393,SALES_0000393,78897,88,36,24,35,2778.62,317,321
394,SALES_0000394,65428,45,231,1735,50,1020.99,353,67
395,SALES_0000395,4422,33,39,1053,13,637.79,135,796
396,SALES_0000396,98039,127,486,53,13,2955.64,188,1402
397,SALES_0000397,47210,43,365,1767,12,1043.59,101,594
398,SALES_0000398,66141,62,347,1511,44,4973.24,234,851
399,SALES_0000399,33780,7,363,569,1,1543.57,39,1344
400,SALES_0000400,40714,119,242,1947,19,2557.97,243,1380
401,SALES_0000401,5543,145,234,1828,11,3587.64,11,329
402,SALES_0000402,36773,55,93,1719,31,4829.73,292,1260
403,SALES_0000403,61084,54,38,1030,12,4137.24,162,927
404,SALES_0000404,32928,113,11,1136,7,4819.81,95,1305
405,SALES_0000405,25467,131,316,197,15,3102.37,186,353
406,SALES_0000406,21265,36,375,1810,31,1557.54,285,502
407,SALES_0000407,46197,169,239,919,21,2687.54,232,1007
408,SALES_0000408,75677,15,332,63,4,4642.98,45,1370
409,SALES_0000409,37657,126,280,1107,2,2251.03,50,348
410,SALES_0000410,65975,74,355,1668,20,906.42,271,1034
411,SALES_0000411,30827,111,371,1161,14,1769.38,223,1010
412,SALES_0000412,69317,182,238,1159,6,4027.19,135,139
413,SALES_0000413,332,198,405,1932,15,1573.43,223,364
414,SALES_0000414,62016,209,486,1648,48,715.5,152,736
415,SALES_0000415,30097,98,395,499,24,4259.52,185,865
416,SALES_0000416,64607,149,241,585,33,3909.2,313,1354
417,SALES_0000417,11857,159,191,1174,24,1910.85,245,1176
418,SALES_0000418,6862,60,172,1999,38,1688.66,321,754
419,SALES_0000419,41927,15,317,1659,24,4894.21,231,761
420,SALES_0000420,63854,192,381,901,29,1816.03,295,92
421,SALES_0000421,4780,195,239,1676,2,778.8,40,114
422,SALES_0000422,14656,28,380,1797,22,642.44,148,255
423,SALES_0000423,50208,80,64,62,26,3366.24,179,953
424,SALES_0000424,42584,127,160,132,50,3653.53,351,636
425,SALES_0000425,80708,32,91,1302,39,4118.42,325,1354
426,SALES_0000426,72930,188,178,1190,16,1376.84,209,1153
427,SALES_0000427,51934,136,318,1396,30,4746.5,252,1193
428,SALES_0000428,46119,158,374,923,47,4521.21,319,1076
429,SALES_0000429,39766,135,313,36,23,4862.31,120,829
430,SALES_0000430,66647,85,104,547,1,2570.0,37,1018
431,SALES_0000431,42493,4,434,1708,1,3845.45,40,362
432,SALES_0000432,99030,23,154,1462,8,3981.96,131,974
433,SALES_0000433,99523,161,232,1857,38,1938.81,327,730
434,SALES_0000434,50147,108,479,1516,24,3500.95,263,1067
435,SALES_0000435,28090,42,255,1904,23,3027.7,92,422
436,SALES_0000436,88297,192,294,1872,14,1978.71,198,1085
437,SALES_0000437,92409,40,106,1125,46,977.84,291,1201
438,SALES_0000438,75073,136,125,970,22,827.63,112,114
439,SALES_0000439,11554,118,318,683,41,3163.73,258,168
440,SALES_0000440,13452,112,427,791,28,2586.72,127,1046
441,SALES_0000441,6185,38,458,1020,34,2853.27,276,473
442,SALES_0000442,25551,12,422,1666,41,1225.19,296,855
443,SALES_0000443,76594,171,228,1229,43,3165.68,202,1375
444,SALES_0000444,44257,102,257,216,31,1145.67,305,871
445,SALES_0000445,52682,199,238,563,41,565.94,293,1384
446,SALES_0000446,47656,7,356,1379,42,1638.96,205,1350
447,SALES_0000447,81084,3,89,1514,6,4838.63,115,1380
448,SALES_0000448,51431,83,103,1670,42,1015.9,189,888
449,SALES_0000449,79924,122,195,345,41,962.9,283,1266
450,SALES_0000450,73361,147,88,774,31,4752.62,306,362
451,SALES_0000451,86492,199,34,1240,7,2880.77,103,730
